Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
23.7,26.272,585.2,749.2,0.004764163,present
23.718,26.29,578.4,760.4,0.004772661,present
23.73,26.23,572.6666667,769.6666667,0.004765153,present
23.7225,26.125,493.75,774.75,0.004743773,present
23.754,26.2,488.6,779,0.004766594,present
23.76,26.26,568.6666667,790,0.004779332,present
23.73,26.29,536.3333333,798,0.004776136,present
23.754,26.29,509,797,0.004783094,present
23.754,26.35,476,803.2,0.004794094,present
23.736,26.39,510,809,0.004796189,present
23.745,26.445,481.5,815.25,0.004808886,present
23.7,26.56,481.8,824,0.004816793,present
23.7,26.6,475.25,832,0.004824104,present
23.7,26.7,469,845.3333333,0.004842381,present
23.7,26.774,464,852.4,0.004855906,present
23.7,26.89,464,861,0.00487711,present
23.7,26.9725,455,880,0.004892191,present
23.6,26.89,454,891,0.004847594,present
23.64,26.976,458,897.6,0.004875045,present
23.65,27.05,464,900.5,0.004891492,present
23.64,27.1,473,908.8,0.00489763,present
23.6,27.16,464,918,0.004896652,present
23.6,27.236,498.4,925.2,0.004910462,present
23.6,27.29,530.2,929.4,0.004920275,present
23.6,27.33,533.6,936.4,0.004927544,present
23.6,27.34,524.25,950,0.004929361,present
23.625,27.3925,498.6666667,961,0.004946406,present
23.6,27.39,516.3333333,963,0.004938448,present
23.6,27.412,501.2,958.6,0.004942446,present
23.6,27.5,522,965.3333333,0.004958439,present
23.6,27.525,520.5,979.25,0.004962982,present
23.6,27.6,505.2857143,978.4285714,0.004976614,present
23.6,27.6,488.3333333,983,0.004976614,present
23.6,27.54,512,992.6,0.004965709,present
23.6,27.6,511,997.2,0.004976614,present
23.61666667,27.63333333,501.5,999.5,0.004987718,present
23.66666667,27.7,503.6666667,1001,0.005015051,present
23.6,27.7,483.1666667,1009.5,0.00499479,present
23.6,27.7225,483.5,1019,0.004998879,present
23.6,27.79,473,1021,0.005011149,present
23.6,27.85666667,470.3333333,1024.666667,0.005023268,present
23.6,27.80428571,480.1428571,1030.428571,0.005013746,present
23.575,27.79,464,1026.25,0.005003545,present
23.54,27.81,474.4,1028,0.004996538,present
23.6,27.978,470,1034.8,0.005045325,present
23.525,28,454,1055.5,0.005026367,present
23.5,27.978,454,1055.25,0.00501476,present
23.5,28,454,1050,0.005018735,present
23.5,28,454,1051.25,0.005018735,present
23.5,28,445,1053.6,0.005018735,present
23.5,28,439,1055.5,0.005018735,present
23.5,28.025,444.25,1055,0.005023252,present
23.445,28.125,454.75,1059.5,0.005024491,present
23.39,28.18,455.8,1060,0.005017582,present
23.39,28.2,451.6,1073.6,0.005021172,present
23.39,28.2,451.6,1078.6,0.005021172,present
23.39,28.2,454.75,1081,0.005021172,present
23.39,28.2225,454.75,1082,0.005025211,present
23.39,28.37333333,457.5,1088.833333,0.005052286,present
23.37,28.39,464,1090.6,0.00504913,present
23.39,28.32333333,464,1086,0.00504331,present
23.37333333,28.445,464,1092.5,0.005060017,present
23.39,28.5,471.5,1103.75,0.005075025,present
23.32333333,28.5,475.6666667,1104.5,0.005054476,present
23.365,28.5,471.5,1103.5,0.00506731,present
23.29,28.5,467.75,1112,0.005044229,present
23.30666667,28.53333333,466.5,1105.666667,0.005055304,present
23.29,28.7,464,1104,0.005079916,present
23.29,28.7,467,1117.2,0.005079916,present
23.29,28.675,467.75,1121.25,0.005075455,present
23.29,28.61666667,466.5,1115.666667,0.005065046,present
23.29,28.66,459,1120,0.005072779,present
23.29,28.55,464,1123.75,0.005053151,present
23.29,28.6,470,1116,0.005062072,present
23.272,28.6,464,1126.8,0.005056527,present
23.2,28.4175,464,1112.75,0.005002016,present
23.23,28.5,449,1104.5,0.005025831,present
23.29,28.5,464,1108,0.005044229,present
23.215,28.63333333,462.3333333,1127.833333,0.005044923,present
23.2,28.6,469,1128.75,0.005034399,present
23.2,28.65,469,1124.25,0.005043272,present
23.2,28.62,469,1130.4,0.005037948,present
23.2,28.7,464,1138,0.005052145,present
23.2,28.7,456.5,1144,0.005052145,present
23.2,28.718,457,1140,0.005055339,present
23.2,28.79,450.25,1139.25,0.005068117,present
23.2,28.79,446,1167.333333,0.005068117,present
23.14,28.79,451.6,1159.6,0.005049618,present
23.15,28.89,454.75,1157.75,0.005070391,present
23.15,28.89,448,1159.5,0.005070391,present
23.18,28.83,444,1156.4,0.005069034,present
23.11666667,28.945,444,1160,0.005069809,present
23.14,28.956,444,1169.8,0.005078972,present
23.1,29,444,1176.166667,0.005074362,present
23.1,29.075,444,1175.25,0.005087593,present
23.1,28.918,444,1166.6,0.005059897,present
23.1,27.925,444,1140.25,0.004884784,present
23.06,27.772,444,1089.2,0.004845979,present
23.02,27.556,435,1042.6,0.004796284,present
23.01,27.81883333,432,1051.1,0.004839435,present
23,28.08166667,429,1059.6,0.004882538,present
23,27.956,429,1064.6,0.004860518,present
22.98166667,27.90833333,429,1061.666667,0.004846741,present
23,27.92666667,429,1058.333333,0.004855378,present
23,28.018,429,1061.6,0.004871382,present
22.98166667,28.06666667,429,1070.333333,0.004874454,present
22.945,28.1,429,1074,0.004869381,present
23,28.1,429,1086.25,0.004885751,present
22.956,28.2,429,1089.6,0.004890128,present
22.9725,28.1,429,1085,0.00487756,present
22.945,28.13333333,429,1085,0.004875203,present
23,28.2,429,1088,0.004903275,present
22.945,28.2,429,1091.75,0.004886846,present
23,28.13333333,429,1091.333333,0.004891592,present
22.912,28.1,429,1088.2,0.004859583,present
22.89,28.1,429,1087.5,0.00485306,present
22.89,27.956,432,1079.2,0.004827998,present
22.865,27.84,432.75,1077.25,0.004800476,present
22.87333333,27.68333333,439,1064.166667,0.004775684,present
22.87333333,27.6,429,1056.4,0.004761198,present
22.89,27.6,432.75,1043.6,0.004766045,present
22.815,27.445,432.75,1039.5,0.004717422,present
22.84,27.37333333,436.5,1028.666667,0.0047122,present
22.79,27.365,438,1020.4,0.00469639,present
22.79,27.2,444,1018,0.004667861,present
22.79,27.17142857,435.4285714,1015.142857,0.004662921,present
22.79,27.06666667,434,1006.333333,0.004644808,present
22.79,27.02,432,1002.6,0.00463674,present
22.772,26.934,438,993.2,0.004616793,present
22.76,26.82333333,439,983.3333333,0.004594315,present
22.7,26.754,432,976.2,0.004565583,present
22.7225,26.7,432.75,980.75,0.004562569,present
22.7,26.68333333,434,971.3333333,0.004553435,present
22.7,26.53333333,444,966.6666667,0.004527652,present
22.7,26.46333333,444,963,0.00451562,present
22.7,26.445,441.5,952.3333333,0.004512469,present
22.7,26.34,444,948,0.004494423,present
22.7,26.26,444,945,0.004480674,present
22.7,26.2,441,941.6,0.004470363,present
22.7,26.16,438,929.8,0.004463489,present
22.7,26.02,441,923.8,0.004439431,present
22.7,26.1,440.25,919,0.004453178,present
22.7,26,439,918.25,0.004435995,present
22.7,25.934,438,919.4,0.004424654,present
22.7,25.92666667,439,927.3333333,0.004423394,present
22.7,25.815,432.75,920.25,0.004404207,present
22.68,25.772,432,902.4,0.004391449,present
22.64,25.696,429,904.4,0.004367718,present
22.6,25.575,429,897,0.00433639,present
22.66666667,25.6,429,892,0.004358383,present
22.6,25.525,433.5,882.5,0.004327853,present
22.62,25.476,436.2,887.2,0.004324772,present
22.625,25.55,442.5,889.25,0.004338748,present
22.6,25.39,443.4,889.2,0.004304805,present
22.65,25.42,438,880.75,0.00432312,present
22.6,25.2675,442.5,868.75,0.004283893,present
22.6,25.218,439.8,861,0.004275443,present
22.6,25.2,439.8,860.6,0.00427237,present
22.6,25.2,435.5,864,0.00427237,present
22.6,25.15,430.75,859,0.004263835,present
22.6,25.14,440.6,854.4,0.004262128,present
22.6,25.15,428.2,847.4,0.004263835,present
22.6,25.04,432.2,837.2,0.004245059,present
22.6,25.05,431.75,834.75,0.004246766,present
22.6,25.06,429.2,832.4,0.004248472,present
22.6,25,433,832,0.004238231,present
22.6,25,433,836.25,0.004238231,present
22.6,25,428.2,832.6,0.004238231,present
22.6,25.025,428.25,821.5,0.004242498,present
22.6,25.1,425.4,832.4,0.0042553,present
22.6,25.08,429.2,832.4,0.004251886,present
22.56,25.02,433,830.75,0.004231284,present
22.58,25.08,433,821.5,0.00424669,present
22.575,25.075,433,818.25,0.00424454,present
22.56,24.912,433,819.8,0.004212896,present
22.55,25.2,433,822.5,0.004259328,present
22.6,24.9175,433,818,0.00422415,present
22.58,25.06,433,812.8,0.004243281,present
22.56666667,24.90833333,433,816.5,0.004213989,present
22.525,24.945,433,822.25,0.004209495,present
22.54,24.89,433,825,0.004204006,present
22.5,24.865,433,816.5,0.004189492,present
22.5,24.9175,433,811.5,0.004198397,present
22.5,24.91166667,433,811,0.004197408,present
22.56,24.81,433,812.2,0.00419553,present
22.525,24.89,426,814.25,0.004200151,present
22.52,24.976,430.2,824,0.004213473,present
22.575,25.075,433,834.5,0.00424454,present
