Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
23.18,27.272,426,721.25,0.004792988,present
23.15,27.2675,429.5,714,0.004783441,present
23.15,27.245,426,713.5,0.004779464,present
23.15,27.2,426,708.25,0.004771509,present
23.1,27.2,426,704.5,0.004756993,present
23.1,27.2,419,701,0.004756993,present
23.1,27.2,419,701.6666667,0.004756993,present
23.1,27.2,419,699,0.004756993,present
23.1,27.2,419,689.3333333,0.004756993,present
23.075,27.175,419,688,0.004745351,present
23.075,27.15,419,690.25,0.004740952,present
23.1,27.1,419,691,0.004739371,present
23.1,27.16666667,419,683.5,0.004751119,present
23.05,27.15,419,687.5,0.004733732,present
23,27.125,419,686,0.004714942,present
23,27.125,418.5,680.5,0.004714942,present
23,27.2,0,681.5,0.004728078,absent
22.945,27.29,0,685,0.004727951,absent
22.945,27.39,0,685,0.004745408,absent
22.89,27.39,0,689,0.004729506,absent
22.89,27.39,0,689.5,0.004729506,absent
22.89,27.39,0,689,0.004729506,absent
22.89,27.445,0,691,0.004739076,absent
22.89,27.5,0,688,0.004748645,absent
22.89,27.5,0,689.5,0.004748645,absent
22.79,27.445,0,689,0.004710224,absent
22.79,27.5,0,685.6666667,0.004719735,absent
22.79,27.5,0,687,0.004719735,absent
22.79,27.5,0,688,0.004719735,absent
22.745,27.5,0,670,0.004706776,absent
22.7,27.46333333,0,668.6666667,0.004687543,absent
22.7,27.5,0,670,0.004693849,absent
22.7,27.5,0,667,0.004693849,absent
22.66666667,27.42666667,0,664.5,0.004671708,absent
22.7,27.6,0,670,0.004711047,absent
22.6,27.42666667,0,670.3333333,0.004652699,absent
22.6,27.39,0,672,0.004646433,absent
22.6,27.35666667,0,658,0.004640736,absent
22.6,27.445,0,660.5,0.004655833,absent
22.6,27.42666667,0,658,0.004652699,absent
22.6,27.445,0,655,0.004655833,absent
22.6,27.445,0,654.25,0.004655833,absent
22.6,27.39,0,648,0.004646433,absent
22.5,27.32333333,0,648.6666667,0.004606763,absent
22.5,27.445,0,646,0.004627429,absent
22.5,27.5,0,646,0.004636772,absent
22.5,27.445,0,641.5,0.004627429,absent
22.39,27.29,0,639,0.004570212,absent
22.5,27.5,0,640,0.004636772,absent
22.39,27.34,0,630.5,0.004578647,absent
22.39,27.35666667,0,629.3333333,0.004581459,absent
22.39,27.5,0,632,0.004605641,absent
22.39,27.5,0,636.5,0.004605641,absent
22.39,27.5,0,627.5,0.004605641,absent
22.39,27.39,0,626,0.004587082,absent
22.39,27.5,0,625.5,0.004605641,absent
22.34,27.39,0,623.5,0.00457305,absent
22.39,27.46333333,0,624.6666667,0.004599455,absent
22.39,27.39,0,622,0.004587082,absent
22.29,27.39,0,621,0.004559056,absent
22.34,27.39,0,626.5,0.00457305,absent
22.29,27.39,0,622,0.004559056,absent
22.39,27.39,0,620,0.004587082,absent
